id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,,,,,,,,,,,,
2ln7Hn7Du5CTqCNfjlmuq9,0.675,0.892,10,-4.744,0,0.046,0.00555,0.7290000000000001,0.204,0.273,132.004,Britney Spears,,,,,,,,,,,,
7yqfQzebWWk1jk85YlqmuQ,0.79,0.763,6,-5.147,0,0.0515,0.0107,0.3939999999999999,0.0393,0.936,128.005,Britney Spears,,,,,,,,,,,,
7sqsAWZBRDzU77IHnFhtl2,0.614,0.944,8,-2.994,1,0.0449,0.00402,0.498,0.436,0.526,129.999,Britney Spears,,,,,,,,,,,,
7rNyRiei6konJJ0l8ZMidQ,0.591,0.8220000000000001,5,-6.392,0,0.0331,0.0204,0.000299,0.146,0.508,132.007,Britney Spears,,,,,,,,,,,,
4o0QFE4VT9xzW28mS7RD4Q,0.563,0.937,8,-5.241,1,0.052,0.00025,0.8370000000000001,0.0744,0.784,135.001,Britney Spears,,,,,,,,,,,,
0uBmaWQsMJ7UKzBDtb6HiJ,0.5529999999999999,0.947,8,-5.622,1,0.0344,0.00124,0.124,0.113,0.503,132.00799999999998,Britney Spears,,,,,,,,,,,,
1B87ZDrD3Pno9hS4stamWO,0.628,0.481,1,-7.775,1,0.475,0.29,0,0.118,0.33,108.761,The Weeknd,,,,,,,,,,,,
6yHkPtl6UQ7RjtJLBPzbJw,0.415,0.369,8,-10.044,1,0.0741,0.0303,7.64e-06,0.3829999999999999,0.0913,95.746,Rihanna,,,,,,,,,,,,
5FsJ8AUxW1KBypdhFvbdkd,0.755,0.6,5,-6.431,0,0.309,0.144,0,0.1169999999999999,0.652,155.982,Chris Brown,,,,,,,,,,,,
4AFgK4wP1iD5i8BYaLr9Vf,0.807,0.736,7,-6.748,1,0.151,0.109,0.00729,0.104,0.54,154.023,Nicki Minaj,,,,,,,,,,,,
70eFcWOvlMObDhURTqT4Fv,0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,Ed Sheeran,,,,,,,,,,,,
4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.6679999999999999,97.989,Ed Sheeran,,,,,,,,,,,,
4wuCQX7JvAZLlrcmH4AeZF,0.746,0.787,4,-6.373,1,0.12,0.212,0,0.0669,0.607,95.005,Ed Sheeran,,,,,,,,,,,,
1AI7UPw3fgwAFkvAlZWhE0,0.885,0.762,8,-5.513,0,0.216,0.2189999999999999,0,0.162,0.605,138.058,Ed Sheeran,,,,,,,,,,,,
0VsGaRXR5WAzpu51unJTis,0.565,0.243,2,-8.367,1,0.0317,0.758,8.82e-06,0.285,0.239,81.655,Ed Sheeran,,,,,,,,,,,,
0hVXuCcriWRGvwMV1r5Yn9,0.7979999999999999,0.6759999999999999,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,Ed Sheeran,,,,,,,,,,,,
1DhRbox3xkceP64k3JeYfW,0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,Ed Sheeran,,,,,,,,,,,,
0AtP8EkGPn6SwxKDaUuXec,0.852,0.6659999999999999,11,-6.923,0,0.184,0.135,0,0.7979999999999999,0.726,91.046,Ed Sheeran,,,,,,,,,,,,
1Bdptrvb7nQkq8kCw3siE9,0.665,0.68,2,-4.898,1,0.291,0.1119999999999999,0,0.096,0.69,91.667,Ed Sheeran,,,,,,,,,,,,
5T03itPFOPGGkvVPvPiyla,0.627,0.594,7,-8.306,1,0.0479,0.256,0,0.373,0.3879999999999999,101.007,Ed Sheeran,,,,,,,,,,,,
2qRN7PWiHRLprw4FpDeI9N,0.747,0.649,8,-6.218,1,0.218,0.3329999999999999,0,0.172,0.84,88.01100000000002,Ed Sheeran,,,,,,,,,,,,
3FHXUqaUer9o231Je1zxIN,0.4679999999999999,0.63,8,-6.536,0,0.0843,0.31,0,0.1369999999999999,0.762,91.419,Ed Sheeran,,,,,,,,,,,,
4vIKzWqtn44umal5jXq4wE,0.778,0.589,8,-5.548,1,0.2689999999999999,0.467,0,0.0902,0.513,98.001,Ed Sheeran,,,,,,,,,,,,
5d1rmWWF1725tnYjq6rMDB,0.726,0.731,1,-6.298,0,0.159,0.11,3.45e-06,0.0928,0.4370000000000001,170.125,Ed Sheeran,,,,,,,,,,,,
7hvO2qCwJVZxiyoA7c9i5d,0.631,0.7959999999999999,1,-5.35,1,0.0401,0.000245,0.0108,0.38,0.596,92.47,Bruno Mars,,,,,,,,,,,,
4oGs2MK6C35jMJhaT151yg,0.614,0.7040000000000001,0,-5.298,0,0.035,0.1939999999999999,1.04e-05,0.242,0.711,89.154,Jennifer Lopez,,,,,,,,,,,,
6J7WMB5GII6pEOzy687jhO,0.7020000000000001,0.794,3,-5.913,1,0.0562,0.00715,4.56e-05,0.11,0.37,103.972,Ed Sheeran,,,,,,,,,,,,
2tekljkdH6XLP4dOVcMyAA,0.645,0.5720000000000001,8,-6.39,1,0.0363,0.157,0,0.0988,0.415,135.741,Kelly Clarkson,,,,,,,,,,,,
2zfwqlO7iM7kNqxG1E7hE7,0.737,0.674,6,-5.196,1,0.0352,0.0513,0.000947,0.211,0.3929999999999999,95.691,Jennifer Lopez,,,,,,,,,,,,
2ICCOls3K7kjiAEv9br3vg,0.818,0.703,6,-5.569,0,0.111,0.0206,2.93e-05,0.0465,0.871,97.47,Jennifer Lopez,,,,,,,,,,,,
7AUfOfYTfiHhgg2Pw1aTpw,0.741,0.575,10,-5.416,0,0.0555,0.0398,0.127,0.0853,0.345,93.992,Jennifer Lopez,,,,,,,,,,,,
7GzvgUv3kPRlqMXghgsIfy,0.637,0.7390000000000001,5,-3.826,1,0.0344,0.00842,0.0604,0.1119999999999999,0.632,168.02200000000005,Jennifer Lopez,,,,,,,,,,,,
4StGynhiPfbhrRHz6wWPkr,0.634,0.248,10,-5.758,0,0.0719,0.288,6.979999999999999e-05,0.123,0.382,81.383,Jennifer Lopez,,,,,,,,,,,,
3kgutGd839IOYRl6ekeq6V,0.6990000000000001,0.6679999999999999,1,-5.305,1,0.106,0.265,0,0.141,0.472,83.074,Jennifer Lopez,,,,,,,,,,,,
4ZOyH6KjomjlqCz3oFqglr,0.8440000000000001,0.754,6,-5.46,1,0.207,0.00833,3.42e-06,0.0575,0.961,100.002,Jennifer Lopez,,,,,,,,,,,,
5g5r10mY528xPMkTptbd1y,0.6829999999999999,0.4639999999999999,6,-7.321,0,0.0398,0.268,0.000392,0.0803,0.2339999999999999,80.39399999999998,Jennifer Lopez,,,,,,,,,,,,
2xjhJjkb2NRCTDywYVEho5,0.787,0.856,10,-5.403,0,0.0425,0.0667,0.0143,0.122,0.828,105.028,Jennifer Lopez,,,,,,,,,,,,
1IymYoKfFRANtZPJc1QSbj,0.6759999999999999,0.643,0,-6.182,1,0.0435,0.21,5.27e-05,0.0974,0.594,85.10799999999998,Jennifer Lopez,,,,,,,,,,,,
3adU6Jes8lnvOLnmYYVJgr,0.8320000000000001,0.688,2,-6.346,1,0.0468,0.018,0.207,0.0596,0.3989999999999999,111.965,Jennifer Lopez,,,,,,,,,,,,
0mBqwqHDKBHCd2sy8gXKbg,0.596,0.659,5,-4.598,1,0.0932,0.00628,0.0087,0.0837,0.633,168.065,Jennifer Lopez,,,,,,,,,,,,
4c620OIMXLAdFJnnqdQ0XU,0.8490000000000001,0.405,7,-7.509,0,0.226,0.119,0.000118,0.0707,0.344,139.976,Drake,,,,,,,,,,,,
3iLGeA7LEHxctzSp7Ff1vf,0.799,0.579,4,-5.144,0,0.0487,0.00381,0,0.3670000000000001,0.363,142.987,Bruno Mars,,,,,,,,,,,,
36jvZGzkha6Iofib8BBzOL,0.76,0.476,8,-8.103,1,0.239,0.294,0,0.1,0.355,147.075,The Weeknd,,,,,,,,,,,,
13XMz3rpVYITzjFIsSYlZ1,0.5670000000000001,0.828,10,-4.513,1,0.0819,0.21,0,0.0928,0.845,170.055,John Legend,,,,,,,,,,,,
36myXd7iOvlpoecKzCTHZj,0.498,0.856,2,-6.257,1,0.417,0.1939999999999999,0,0.158,0.597,191.407,John Legend,,,,,,,,,,,,
2Gu7uiGb7ZDOQ1O9jZJQEH,0.619,0.6990000000000001,7,-4.974,1,0.0383,0.152,0.000138,0.433,0.599,94.011,John Legend,,,,,,,,,,,,
49H7RzdbKiIob64vinzhGz,0.3329999999999999,0.6990000000000001,7,-5.425,0,0.0538,0.439,0.00302,0.181,0.608,76.37100000000002,John Legend,,,,,,,,,,,,
0ImOL4s238XPV8d2DKTJ2D,0.542,0.593,5,-6.311,0,0.0716,0.501,0,0.159,0.507,135.458,Kelly Clarkson,,,,,,,,,,,,
2YIWF4kDTRwcRvqkgzHiwe,0.4039999999999999,0.735,4,-5.754,0,0.1159999999999999,0.2,0,0.1969999999999999,0.639,90.024,John Legend,,,,,,,,,,,,
3avdONNot5NMyhZNcgWRcu,0.486,0.954,0,-2.977,1,0.0586,0.174,0,0.126,0.657,97.93,John Legend,,,,,,,,,,,,
0FuXrVBkBEn7WmPm8rT4GV,0.309,0.513,10,-8.887,1,0.0312,0.645,0,0.392,0.423,144.737,John Legend,,,,,,,,,,,,
1x0NszvaftnHtijIId3ivk,0.183,0.664,2,-4.383,1,0.042,0.148,2.12e-06,0.919,0.4,179.825,John Legend,,,,,,,,,,,,
22bn19ANSX3JgFDmtGjkVV,0.636,0.787,7,-6.067,1,0.188,0.209,3.27e-06,0.1159999999999999,0.336,81.075,John Legend,,,,,,,,,,,,
