id,artist,latent_0,latent_1,latent_2,latent_3,latent_4
6jGH911Nz9lPCSK9pd4tVQ,Jennifer Lopez,0.9357224,-0.70258456,1.1077877,-0.40203723,-0.6729285
7Lt9u5REhmzMNPmWyaMoCb,Jennifer Lopez,1.1199014,0.26425183,0.7303416,-1.0790254,0.879359
2KuXuNrCrkePxYNwwJQ56U,Jennifer Lopez,1.6907109,-1.7101438,1.297479,-1.0092812,-1.2635232
1j55r97on3Eec25aSVjjha,Jennifer Lopez,2.0252812,0.39599434,-0.52128404,-0.026830155,0.67224836
3Cu3Kkrq3mVsgO3Tqc0ML3,Jennifer Lopez,-1.2072806,-0.85750145,-1.6153997,-0.0032694992,2.0518155
1SpKiWdhcYnDt6eeFy4coA,Jennifer Lopez,0.9011165,1.8894956,-0.70476675,-0.0344362,1.8810211
0i7OAQ584l2Gmp29a7Mj0z,Jennifer Lopez,0.8581007,-0.46316674,-1.0318775,2.114223,-0.22020009
4zlSDQZoNIlKg0VPwNfuS3,Jennifer Lopez,1.2311043,1.1786561,1.3603977,-0.14165007,0.043747038
43vIuD0mkp807gLx52QvqD,Jennifer Lopez,0.21041639,0.12378465,0.05596742,0.59187984,1.379604
5y9VOBgWbdRq0bJo1uZlb8,Jennifer Lopez,1.9409513,-0.7990782,0.53932166,0.4984896,0.17117266
3WLjOv6zJ7TNsLnvB3OE8H,Jennifer Lopez,-0.9083163,-1.1337785,-1.2782286,0.45656317,-0.47046423
0v3dGE3xByIKFuSfvV2tsv,Chris Brown,0.039154153,-1.0364798,-0.082711145,0.62721086,-1.5283765
6ENHCuUSpsaCfYbJm1rznZ,Chris Brown,-0.34425724,0.6040539,-0.09841184,0.10714905,-0.3422823
24gP4QPktYZq9ieUP0cEtq,Chris Brown,0.96922004,-0.72591007,-1.3763949,1.2723668,0.13024431
0mu7O2SxjEaaWSH0R3ADBa,Chris Brown,0.55242,-0.14580265,-0.33080333,0.15080398,-1.1557832
6p0yQSeVuPdRtItEqOIFaI,Chris Brown,-0.20367818,0.6931607,-0.39656657,-0.39554766,0.50058204
3DrvhA1uYf0Isu7iNTNBCZ,Alicia Keys,1.1075978,-0.7955044,0.6180151,2.173539,-0.2777386
6YDBAZHIcOEo1rSrcca7rJ,Shakira,-0.64021766,1.4268174,0.47533676,-0.11566429,0.064527765
4O1xKPHOH7iXlzMNUDuxHS,Shakira,0.42289278,0.336473,0.9462744,-1.0480351,-0.2993054
3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,-0.41177166,-0.28812104,-1.8238677,-0.023170928,0.062030837
4NirETfurhjh8U9Y1l5U1S,Shakira,0.9464725,0.94944125,0.5044324,-0.8679491,-1.3706863
433JymbpWnRMHXzp1oTRP7,Shakira,-0.15108033,0.7128785,1.1941546,-0.4191558,0.33499447
080gSRai7pWpGO8WsWk1Ww,Shakira,-0.14099762,-1.554331,0.58733654,1.7879484,0.04056409
4ng0dNET7TNV2RMjVB65m6,Shakira,-0.6634049,0.24036658,-1.3263646,0.37745,-0.43698066
4DOamGN0O3Z7mRP8EVTw4f,Shakira,1.5440855,0.75885993,-1.6014587,1.0074987,0.6162935
42JOtajDAVadoj1x84l2Wg,Shakira,-0.79042447,0.58751005,-1.7337208,-0.7699329,-0.5668595
6IkZCUzTNVdBpIixdippHA,Shakira,-0.12665619,-0.6755976,-1.1343783,0.5440676,0.7203043
4lbUTqZIk42k2R6upLKAu6,Shakira,-0.5192447,-1.3923503,0.7715405,-0.39282182,0.4147932
0RoXTnhkLvbUR4dSsY3O0f,Shakira,-1.0671693,-0.6251687,0.38575232,1.6596906,-0.50869167
6UwBdW2wlO9ikUD3LU8GF3,Shakira,0.6879365,1.4108865,-0.6359408,-0.66108674,-0.7486392
6Dwryb0ZGDMeJ8nb90bD3z,Sia,-0.17240949,2.0863698,-0.083865635,1.1409041,0.50068086
3bIbzNBxRIpG2h5oRcoHyV,Sia,-0.67273843,2.4486618,0.034912884,-0.7775823,1.1210259
3T6DeNvTcUjM7nLRVLlXlT,Sia,0.46856385,0.42318144,0.7807317,-0.82720184,-0.29278684
6MF9mKOj9CHFg305FVp7wn,Sia,-0.6706049,-1.1447536,-0.19496247,-0.22986211,0.19055283
3aCjJgEAW018s9BuGiAgob,Ed Sheeran,0.17937985,-0.049290895,-1.0296525,1.3534015,0.049159724
